organisation_id,organisation_name,organisation_type,website
1,Central Advertising - General Practitioners,,
2,Barts Health NHS Trust,,
3,West Suffolk NHS Foundation Trust,,
4,Northumberland Tyne and Wear NHS Foundation Trust,,
5,University Hospitals of North Midlands NHS Trust,,
6,Health Education England,,
7,Virgin Care,,
8,NHS England,,
9,Brighton and Sussex University Hospitals NHS Trust,,
10,Nottingham University Hospitals NHS Trust,,
11,Basildon and Thurrock University Hospitals NHS Foundation Trust,,
12,Hywel Dda University Health Board,,
13,Frimley Health NHS Foundation Trust,,
14,"Barking, Havering and Redbridge University Hospitals Trust",,
15,The Christie NHS Foundation Trust,,
16,North Bristol NHS Trust,,
17,Ashford and St. Peter's Hospitals NHS Foundation Trust,,
18,North Cumbria University Hospitals NHS Trust,,
19,NHS Professionals - Doctors,,
20,Gloucestershire Hospitals NHS Foundation Trust,,
21,East Sussex Healthcare NHS Trust,,
22,Kent and Medway NHS and Social Care Partnership Trust,,
23,Care UK,,
24,University Hospital Southampton NHS Foundation Trust,,
25,King's College Hospital NHS Foundation Trust,,
26,James Paget University Hospitals NHS Foundation Trust,,
27,Salford Royal NHS Foundation Trust,,
28,East Kent Hospitals University NHS Foundation Trust,,
29,Calderdale and Huddersfield NHS Foundation Trust,,
30,University Hospitals Coventry and Warwickshire NHS Trust,,
31,Northern Devon Healthcare Trust - Medical & Dental,,
32,University Hospitals of Leicester,,
33,Powys Teaching Health Board,,
34,Abdominal Medicine and Surgery,,
35,University Hospitals of Derby and Burton NHS Foundation Trust,,
36,Southend University Hospital NHS Foundation Trust,,
37,The Royal Wolverhampton NHS Trust,,
38,Luton and Dunstable Hospital NHS Trust,,
39,Western Sussex Hospitals NHS Foundation Trust,,
40,Taunton and Somerset NHS Foundation Trust,,
41,Guy's and St. Thomas' NHS Foundation Trust,,
42,University Hospitals Plymouth NHS Trust,,
43,Northampton General Hospital NHS Trust,,
44,Royal Devon and Exeter NHS Foundation Trust,,
45,South Tees Hospitals NHS Foundation Trust,,
46,Emergency & Specialty Medicine,,
47,Barnet Enfield and Haringey Mental Health Trust,,
48,Manchester University NHS Foundation Trust,,
49,Homerton University Hospital NHS Trust,,
50,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,,
51,Cygnet Health Care,,
52,Epsom and St Helier University Hospitals NHS Trust,,
53,Derbyshire Healthcare NHS Foundation Trust,,
54,York Teaching Hospital NHS Foundation Trust,,
55,Central Advertising - Social Enterprises,,
56,The Royal Marsden NHS Foundation Trust,,
57,Kettering General Hospital NHS Foundation Trust,,
58,The Robert Darbishire Practice,,
59,East and North Hertfordshire NHS Trust,,
60,Bolton NHS Foundation Trust,,
61,Royal Surrey County Hospital NHS Foundation Trust,,
62,Southern Health NHS Foundation Trust,,
63,University Hospitals Birmingham NHS Foundation Trust - Medical & Dental,,
64,Primary Care Sheffield Ltd,,
65,Wirral University Teaching Hospital NHS Foundation Trust,,
66,Royal United Hospitals Bath NHS Foundation Trust,,
67,"Tees, Esk and Wear Valleys NHS Foundation Trust",,
68,South West Yorkshire Partnership NHS Foundation Trust,,
69,Aintree University Hospital NHS Foundation Trust,,
70,Maidstone and Tunbridge Wells NHS Trust,,
71,Central and North West London NHS Foundation Trust,,
72,Poole Hospital NHS Foundation Trust,,
73,Wye Valley NHS Trust,,
74,Walton Centre NHS Foundation Trust,,
75,Walsall Healthcare NHS Trust,,
76,Consultants,,
77,North Staffordshire Combined Healthcare NHS Trust,,
78,United Lincolnshire Hospitals NHS Trust,,
79,Central Advertising - Other,,
80,Ministry of Defence (Defence Medical Services),,
81,"Northern, Eastern and Western Devon CCG",,
82,Royal Free London NHS Foundation Trust,,
83,University Hospitals of Morecambe Bay NHS Foundation Trust,,
84,Chelsea and Westminster Hospital NHS Foundation Trust,,
85,Dartford and Gravesham NHS Trust,,
86,West Midlands Workforce Deanery,,
87,Mid Essex Hospital Services NHS Trust,,
88,East Cheshire NHS Trust,,
89,Gateshead Health NHS Foundation Trust,,
90,Oxford University Hospitals NHS Foundation Trust,,
91,Humber Teaching NHS Foundation Trust,,
92,Lewisham and Greenwich NHS Trust,,
93,Surrey and Sussex Healthcare NHS Trust,,
94,North Tees and Hartlepool NHS Foundation Trust,,
95,Cwm Taf University Health Board,,
96,Pennine Care NHS Foundation Trust,,
97,Sheffield Teaching Hospitals NHS Foundation Trust,,
98,London North West University Healthcare NHS Trust,,
99,Worcestershire Acute Hospitals NHS Trust,,
100,London Borough of Bexley,,
101,Midlands Partnership NHS Foundation Trust,,
102,Betsi Cadwaladr University Local Health Board,,
103,East London NHS Foundation Trust,,
104,Isle of Wight NHS Trust,,
105,Greater Manchester Mental Health NHS Foundation Trust,,
106,Abertawe Bro Morgannwg University Health Board,,
107,Newmedica,,
108,Cumbria Partnership NHS Foundation Trust,,
109,Chesterfield Royal Hospital NHS Foundation Trust,,
110,Livewell Southwest CIC,,
111,Portsmouth Hospitals NHS Trust,,
112,Northern Lincolnshire and Goole NHS Foundation Trust,,
113,NHS Barnsley Clinical Commissioning Group,,
114,Hampshire Hospitals NHS Foundation Trust,,
115,GP Practices - Aneurin Bevan University Health Board,,
116,South West London and St Georges Mental Health NHS Trust,,
117,Queen Victoria Hospital NHS Foundation Trust,,
118,North of England Commissioning Support,,
119,Royal Liverpool and Broadgreen University NHS Trust,,
120,Great Ormond Street Hospital NHS Foundation Trust,,
121,East Lancashire Hospitals NHS Trust,,
122,Blackpool Teaching Hospitals NHS Foundation Trust,,
123,University Hospitals Bristol NHS Foundation Trust,,
124,Cumbria Health on Call (CHoC),,
125,GP Practices - Betsi Cadwaladr University Health Board,,
126,Sandwell and West Birmingham Hospitals NHS Trust,,
127,Imperial College Healthcare NHS Trust,,
128,West Hertfordshire Hospitals NHS Trust,,
129,EOE Medical Specialty Recruitment,,
130,The Newcastle upon Tyne Hospitals NHS Foundation Trust,,
131,Trauma and Related Services,,
132,Salisbury NHS Foundation Trust,,
133,St Helens and Knowsley Teaching Hospitals NHS Trust,,
134,The Huntercombe Group,,
135,East Suffolk and North Essex NHS Foundation Trust,,
136,Hounslow and Richmond Community Healthcare NHS Trust,,
137,"Bristol, North Somerset and South Gloucestershire CCG",,
138,Birmingham Women's and Children's NHS Foundation Trust,,
139,North West Anglia NHS Foundation Trust,,
140,Solent NHS Trust,,
141,St Andrew’s Healthcare,,
142,Hertfordshire Partnership University NHS Foundation Trust,,
143,South London and Maudsley NHS Foundation Trust,,
144,Warrington and Halton Hospitals NHS Foundation Trust,,
145,The Clatterbridge Cancer Centre NHS Foundation Trust,,
146,Avon and Wiltshire Mental Health Partnership NHS Trust,,
147,Sherwood Forest Hospitals NHS Foundation Trust,,
148,Diagnostic World,,
149,Stockport NHS Foundation Trust,,
150,Cambian Group,,
151,G4S,,
152,Cambridge University Hospitals NHS Foundation Trust,,
153,The Princess Alexandra Hospital NHS Trust,,
154,Royal National Orthopaedic Hospital NHS Trust,,
155,Marie Curie,,
156,Harrogate and District NHS Foundation Trust,,
157,Kingston Hospital NHS Foundation Trust,,
158,Lancashire Teaching Hospitals NHS Trust,,
159,Tameside and Glossop Integrated Care NHS Foundation Trust,,
160,Cardiff and Vale University Health Board,,
161,"change, grow, live (CGL)",,
162,Mid Yorkshire Hospitals NHS Trust,,
163,County Durham and Darlington NHS Foundation Trust,,
164,Weston Area NHS Trust,,
165,Greenbrook Healthcare,,
166,Great Western Hospitals NHS Foundation Trust,,
167,St George's University Hospitals NHS Foundation Trust,,
168,Hull University Teaching Hospitals NHS Trust,,
169,InHealth Pain Management Solutions Ltd,,
170,Medway NHS Foundation Trust,,
171,Mersey Care NHS Foundation Trust,,
172,Royal Brompton and Harefield NHS Foundation Trust,,
173,Birmingham and Solihull Mental Health NHS Foundation Trust,,
174,Norfolk and Norwich University Hospitals NHS Foundation Trust,,
175,Devon Partnership NHS Trust,,
176,Royal Berkshire NHS Foundation Trust,,
177,Oxford Health NHS Foundation Trust,,
178,gtd healthcare,,
179,Shrewsbury and Telford Hospital NHS Trust,,
180,Royal Cornwall Hospitals NHS Trust,,
181,The Pennine Acute Hospitals NHS Trust,,
182,Sussex Community NHS Foundation Trust,,
183,Sussex Partnership NHS Foundation Trust,,
184,OneMedicalGroup,,
185,Leeds Children's Hospital,,
186,Public Health England,,
187,Dudley Group NHS Foundation Trust,,
188,Croydon Health Services NHS Trust,,
189,NELFT NHS Foundation Trust,,
190,University College London Hospitals NHS Foundation Trust,,
191,The Rotherham NHS Foundation Trust,,
192,Yeovil District Hospital NHS Foundation Trust,,
193,Black Country Partnership NHS Foundation Trust,,
194,Elysium Healthcare,,
195,Camden and Islington NHS Foundation Trust,,
196,Dorset County Hospital NHS Foundation Trust,,
197,St James Medical Practice,,
198,Milton Keynes University Hospital NHS Foundation Trust,,
199,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,,
200,NAViGO CiC Ltd,,
201,Whittington Health,,
202,Kent Community Health NHS Foundation Trust,,
203,Nottinghamshire Healthcare NHS Foundation Trust,,
204,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,,
205,Cheshire and Wirral Partnership NHS Foundation Trust,,
206,East and North Herts CCG,,
207,Berkshire Healthcare NHS Foundation Trust,,
208,Wyre Forest Health Partnership,,
209,Oxleas NHS Foundation Trust,,
210,Centre for Neurosciences,,
211,Alder Hey Children's NHS Foundation Trust,,
212,"University Hospitals Birmingham (Heartlands, Good Hope, Solihull) - Medical & Dental",,
213,Northamptonshire Healthcare NHS Foundation Trust,,
214,Northumbria Healthcare NHS Foundation Trust,,
215,Wirral Community NHS Foundation Trust,,
216,Bedford Hospital NHS Trust,,
217,West London NHS Trust,,
218,Health Education England London and the South East,,
219,"Staffordshire, Shropshire, Telford and Wrekin and Herefordshire CCGs",,
220,Countess of Chester Hospital NHS Foundation Trust,,
221,Herts Urgent Care,,
222,Somerset Partnership NHS Foundation Trust,,
223,Hull and East Yorkshire Hospitals NHS Trust,,
224,Derbyshire Community Health Services NHS Foundation Trust,,
225,Kennet and Avon Partnership,,
226,Buckinghamshire Healthcare NHS Trust,,
227,Southport and Ormskirk Hospital NHS Trust,,
228,Mid Cheshire Hospitals NHS Foundation Trust : Medical Resourcing,,
229,The Royal Orthopaedic Hospital NHS Foundation Trust,,
230,Barnsley Hospital NHS Foundation Trust,,
231,Aneurin Bevan University Health Board,,
232,Concordia Health Ltd,,
233,Airedale NHS Foundation Trust,,
234,Priory Group,,
235,City Hospitals Sunderland NHS Foundation Trust,,
236,South Tyneside NHS Foundation Trust,,
237,The Hospice of Our Lady and St John (Willen Hospice),,
238,GP Practices - Hywel Dda University Health Board,,
239,Norfolk and Suffolk NHS Foundation Trust,,
240,South Warwickshire NHS Foundation Trust,,
241,Mastercall Healthcare,,
242,Chapel Allerton,,
243,Wessex Deanery,,
244,Lancashire Care NHS Foundation Trust,,
245,Hertfordshire Community NHS Trust,,
246,Thames Hospice,,
247,Dorset HealthCare University NHS Foundation Trust,,
248,Liverpool Womens NHS Foundation Trust,,
249,Sue Ryder,,
250,Cardio-Respiratory,,
251,Moorfields Eye Hospital NHS Foundation Trust,,
252,2gether NHS Foundation Trust,,
253,"General Practices in W, N,E Cumbria",,
254,Lincolnshire Community Health Services NHS Trust,,
255,Lincolnshire Partnership NHS Foundation Trust,,
256,Hartlepool & Stockton Health Ltd,,
257,St Margaret's Somerset Hospice,,
258,Torbay and South Devon NHS Foundation Trust,,
259,GP Practices - Cardiff and Vale University Health Board,,
260,Coventry and Warwickshire Partnership Trust (CWPT),,
261,St. George Healthcare Group,,
262,"Wrightington, Wigan and Leigh NHS Foundation Trust",,
263,North Middlesex University Hospitals NHS Trust,,
264,The Practice,,
265,Health and Community Services Jersey,,
266,Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,,
267,North Western Deanery,,
268,Sheffield Children's NHS Foundation Trust,,
269,Equilibrium Healthcare,,
270,Marie Stopes UK,,
271,Birmingham Community Healthcare NHS Foundation Trust,,
272,Devon Doctors,,
273,Lead Employer for Northern Deanery,,
274,Primary Care Services,,
275,GP Practices - Abertawe Bro Morgannwg University Health Board,,
276,Surrey and Borders Partnership NHS Foundation Trust,,
277,North of England CCGs,,
278,British Pregnancy Advisory Service (bpas),,
279,Priory Medical Group,,
280,Harrow Health CIC,,
281,SSP Health,,
282,Inclusion,,
283,BrisDoc Healthcare Services,,
284,Barts Health Bank Recruitment,,
285,City Health Care Partnership CIC,,
286,George Eliot Hospital NHS Trust,,
287,The University of Leeds,,
288,Liverpool Heart and Chest Hospital NHS Foundation Trust,,
289,St Christopher's Hospice,,
290,North East Ambulance Service NHS Foundation Trust,,
291,Essex Partnership University NHS Foundation Trust,,
292,West Midlands Ambulance Services NHS Foundation Trust,,
293,Bradford Teaching Hospitals NHS Foundation Trust,,
294,North West Boroughs Healthcare NHS Foundation Trust,,
295,The Hillingdon Hospitals NHS Foundation Trust,,
296,Theatres and Anaesthesia,,
297,Health Education England South West,,
298,OxFed Health & Care Ltd,,
299,"Care Unbound Limited, trading as Here",,
300,Spire Healthcare Ltd,,
301,Velindre Cancer Centre,,
302,Fresenius Medical Care,,
303,Rotherham Doncaster and South Humber NHS Foundation Trust,,
304,Partnering Health,,
305,Public Health Wales NHS Trust,,
306,Leeds Cancer Centre,,
307,Portsmouth Hospitals NHS Trust Staff Bank,,
308,London Ambulance Service NHS Trust,,
309,Leicestershire Partnership NHS Trust - Medical Staffing,,
310,Cambridgeshire County Council,,
311,DHU Health Care CIC,,
312,Circle Health,,
313,Leeds Dental Institute,,
314,Bwrdd lechyd Prifysgol Cwm Taf Morgannwg University Health Board,,
315,Head and Neck,,
316,St Clare Hospice,,
317,Health Education Yorkshire and the Humber,,
318,St Richard's Hospice,,
319,South Tyneside and Sunderland NHS Foundation Trust,,
320,Community Dental Services CIC,,
321,Pathology,,
322,Medical Directorate,,
323,External Practice,,
324,Principal Medical Ltd,,
325,St Barnabas Hospice,,
326,Mid Cheshire Hospitals NHS Foundation Trust,,
327,East Berkshire CCG,,
328,Hampshire County Council,,
329,Saint Francis Hospice,,
330,GP Practices - Cwm Taf University Health Board,,
331,St Joseph's Hospice,,
332,Leeds and York Partnership NHS Foundation Trust,,
333,Central Advertising - Local Authorities,,
334,Cambridgeshire and Peterborough NHS Foundation Trust,,
335,GP Practices - Powys Teaching Health Board,,
336,Symphony,,
337,Shropshire Community Health NHS Trust,,
338,NHS Bassetlaw Clinical Commissioning Group,,
339,Cwm Taf Morgannwg University Health Board,,
340,Midlands and Lancashire Commissioning Support Unit,,
341,Sheffield Health and Social Care NHS Foundation Trust,,
342,"West Suffolk and, Ipswich and East Suffolk Clinical Commisioning Groups",,
343,Women's Services,,
344,Medical Recruitment,,
345,NHS Devon Clinical Commissioning Group,,
346,Wales Deanery - Dental Section,,
347,West Kent Clinical Commissioning Group,,
348,(CS) Leeds Community Healthcare NHS Trust,,
349,Swansea Bay University Health Board,,
350,Mountain Healthcare Ltd,,
351,Wigan and Leigh Hospice,,
352,Access Health Care,,
353,Cornwall Partnership NHS Foundation Trust,,
354,Central London Community Healthcare NHS Trust,,
355,Bradford District Care NHS Foundation Trust,,
356,East Midlands Deanery,,
357,Gloucestershire Clinical Commissioning Group,,
358,Gloucestershire Care Services NHS Trust,,
359,GP and Health Care Services,,
360,Primary Care 24,,
361,Worcestershire Health and Care NHS Trust,,
362,St Peter's Hospice,,
363,North London Hospice,,
364,NHS Great Yarmouth and Waveney CCG,,
365,NHS Blood and Transplant (NHSBT),,
366,Bridgewater Community Healthcare NHS Foundation Trust,,
367,Wirral Community Health and Care NHS Foundation Trust,,
368,St Giles Hospice,,
369,NHS Tameside and Glossop Clinical Commissioning Group,,
370,Isabel Hospice,,
371,NHS England and NHS Improvement,,
372,St Barnabas Hospices,,
373,St Luke's Hospice (Plymouth),,
374,Royal Papworth Hospital NHS Foundation Trust,,
375,OnePrimaryCare,,
376,NHS Wales Shared Services Partnership,,
377,Welsh Blood Service,,
378,East Midlands Ambulance Service NHS Trust,,
379,SHS Partners Surgical Limited,,
380,Omnes Healthcare Limited,,
381,Anglian Community Enterprise (CIC),,
382,St. Oswald's Hospice,,
383,Spa Medica,,
384,Medway Community Healthcare,,
385,Brighton and Hove CCG,,
386,St George''s University Hospitals NHS Foundation Trust,,
387,Birmingham Women''s and Children''s NHS Foundation Trust,,
388,Guy''s and St. Thomas'' NHS Foundation Trust,,
389,King''s College Hospital NHS Foundation Trust,,
390,NHS Norwich CCG,,
391,The Queen Elizabeth Hospital King''s Lynn NHS Foundation Trust,,
392,Bay Medical Group,,
393,Cambridgeshire Community Services NHS Trust,,
394,NHS Isle of Wight CCG,,
395,Nottingham CityCare Partnership CIC,,
396,Bristol Community Health CIC,,
397,Warwickshire North CCG,,
398,Dudley and Walsall Mental Health Partnership NHS Trust,,
399,Radiology,,
400,Redbridge Clinical Commissioning Group,,
401,Barking and Dagenham Clinical Commissioning Group,,
402,Havering Clinical Commissioning Group,,
403,Walsall CCG,,
404,States of Guernsey,,
405,St Ann's Hospice,,
406,Pilgrims Hospices in East Kent,,
407,NHS Sheffield Clinical Commissioning Group,,
408,Suffolk Primary Care,,
409,Lancaster Medical Practice,,
410,Medicines and Healthcare products Regulatory Agency,,
411,The Katharine House Hospice,,
412,City and Hackney Clinical Commissioning Group,,
413,Health Education and Improvement Wales (HEIW),,
414,Birmingham and Solihull CCG,,
415,Compton Care,,
416,Northgate Medical Practice,,
417,(CC) Leeds Community Healthcare NHS Trust,,
418,NHS Arden and Greater East Midlands Commissioning Support Unit,,
419,CARE Fertility,,
420,Oxford PGMDE,,
421,Peninsula Dental Social Enterprise Community Interest Company,,
422,Isle of Wight NHS Trust - Medical Recruitment,,
423,Dorothy House Hospice Care,,
424,Chesterfield Royal Hospital - Medical Staffing,,
425,NHS West Hampshire CCG,,
426,Your Healthcare CIC,,
427,NHS West London CCG,,
428,The London Clinic,,
429,Sirona care and health CIC,,
430,Castle Point and Rochford Clinical Commissioning Group,,
431,NHS Central London CCG,,
432,Herts and West Essex STP,,
433,Care Plus Group,,
434,Hope Citadel Healthcare,,
435,Tavistock and Portman NHS Foundation Trust,,
436,Vocare Ltd,,
437,NHS Hillingdon CCG,,
438,Bedfordshire Clinical Commissioning Group,,
439,Spectrum Community Health,,
440,Wales Deanery,,
441,Coventry and Rugby CCG,,
442,Octagon Medical Practice,,
443,Northumberland Tyne and Wear NHS Foundation Trust: Cumbria Recruitment,,
444,Norfolk Community Health and Care NHS Trust,,
445,Wiltshire Council,,
446,NHS Wakefield CCG,,
447,Hastings and Rother CCG,,
448,North West Ambulance Service,,
449,Partnership of East London Cooperatives Ltd (PELC),,
450,NHS Milton Keynes CCG,,
451,NHS Medway Clinical Commissioning Group,,
452,Royal Trinity Hospice,,
453,Care Quality Commission,,
454,NHS North East Hampshire and Farnham CCG,,
455,St Michael's Hospice (Hereford),,
456,Care and Custody,,
457,GP Practices - Cwm Taf Morgannwg University Health Board,,
458,Modality Partnership AWC,,
459,Dudley CCG,,
460,Bromley Healthcare,,
461,North Lincolnshire CCG,,
462,NHS Jobs BETA Service,,
463,GP Practices - Swansea Bay University Health Board,,
464,NHS Leeds Clinical Commissioning Group,,
465,NHS Resolution,,
466,NHS Nene CCG,,
467,Northamptonshire County Council,,
468,Local Care Direct,,
469,Havens Hospices,,
470,Mental Health Care (UK) Ltd,,
471,Essex Primary Care,,
472,North Cumbria Integrated Care NHS Foundation Trust (NCIC),,
473,West Midlands Ambulance Service University NHS Foundation Trust,,
474,Locala Community Partnerships CIC,,
475,Greater Manchester Shared Service,,
476,Stourside Medical Practice,,
477,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",,
478,Firsway Health Centre,,
479,Independent Health Group,,
480,Thurrock Clinical Commissioning Group,,
481,Turning Point,,
482,Gloucestershire Health and Care NHS Foundation Trust (previously 2gether NHS Foundation Trust),,
483,Nexus Health Group,,
484,Lancashire & South Cumbria NHS Foundation Trust,,
485,Farleigh Hospice,,
486,Malling Health (UK),,
487,BARDOC,,
